dates,l1,ssim,accuracy
2020-01-01,0.0696,0.7778,0.983
2020-01-08,0.0558,0.8268,0.9835
2020-01-15,0.0479,0.8381,0.9852
2020-01-22,0.0525,0.8327,0.9904
2020-01-29,0.052,0.8407,0.9906
2020-02-05,0.0393,0.8478,0.9905
2020-02-12,0.0352,0.852,0.9906
2020-02-19,0.039,0.8454,0.9903
2020-02-26,0.0378,0.8386,0.9904
2020-03-04,0.0377,0.8283,0.9903
2020-03-11,0.0392,0.8462,0.9903
2020-03-18,0.0399,0.8489,0.9906
2020-03-25,0.0472,0.8428,0.9906
2020-04-01,0.0355,0.8489,0.9905
2020-04-08,0.0379,0.8418,0.9908
2020-04-15,0.0376,0.8203,0.9908
2020-04-22,0.0464,0.8103,0.9906
2020-04-29,0.0479,0.7977,0.9908
2020-05-06,0.0486,0.7862,0.9906
2020-05-13,0.0565,0.7501,0.9906
2020-05-20,0.0615,0.7523,0.989
2020-05-27,0.0758,0.6888,0.9799
2020-06-03,0.0806,0.7043,0.9729
2020-06-10,0.0888,0.6684,0.9603
2020-06-17,0.1132,0.628,0.9376
2020-06-24,0.1072,0.6168,0.9069
2020-07-01,0.1138,0.5815,0.8821
2020-07-08,0.1219,0.5273,0.8331
2020-07-15,0.1122,0.5305,0.8088
2020-07-22,0.0874,0.548,0.8401
2020-07-29,0.0688,0.5837,0.8744
2020-08-05,0.0511,0.6248,0.9192
2020-08-12,0.0526,0.6232,0.9219
2020-08-19,0.0572,0.5831,0.9326
2020-08-26,0.0643,0.5738,0.9117
2020-09-02,0.0902,0.5655,0.8747
2020-09-09,0.0927,0.5464,0.8597
2020-09-16,0.1135,0.5412,0.8312
2020-09-23,0.122,0.5186,0.8017
2020-09-30,0.1457,0.4041,0.7608
2020-10-07,0.1737,0.3576,0.6449
2020-10-14,0.2059,0.3513,0.5522
2020-10-21,0.2705,0.3612,0.5028
2020-10-28,0.2519,0.4385,0.5941
2020-11-04,0.1547,0.5857,0.8777
2020-11-11,0.1005,0.6464,0.978
2020-11-18,0.0733,0.7306,0.9731
2020-11-25,0.0421,0.8085,0.9903
2020-12-02,0.0509,0.7867,0.9887
2020-12-09,0.04,0.8283,0.9903
2020-12-16,0.0439,0.818,0.9904
2020-12-23,0.0602,0.7909,0.9897
2021-01-01,0.0704,0.7862,0.9832
2021-01-08,0.0465,0.8217,0.9845
2021-01-15,0.0457,0.8227,0.9855
2021-01-22,0.0398,0.8326,0.9906
2021-01-29,0.0393,0.8398,0.9907
2021-02-05,0.0359,0.8312,0.9906
2021-02-12,0.0334,0.8471,0.9907
2021-02-19,0.0339,0.8467,0.9906
2021-02-26,0.0312,0.8555,0.9905
2021-03-05,0.0375,0.8482,0.9906
2021-03-12,0.038,0.8301,0.9905
2021-03-19,0.0381,0.85,0.9907
2021-03-26,0.0426,0.8515,0.9907
2021-04-02,0.0301,0.8635,0.9906
2021-04-09,0.0296,0.8671,0.9907
2021-04-16,0.0309,0.8481,0.9909
2021-04-23,0.0371,0.8368,0.9906
2021-04-30,0.0403,0.8232,0.9909
2021-05-07,0.0489,0.8054,0.9906
2021-05-14,0.0539,0.7724,0.9907
2021-05-21,0.0626,0.7518,0.9903
2021-05-28,0.0841,0.6858,0.9715
2021-06-04,0.1036,0.6744,0.9464
2021-06-11,0.1108,0.6425,0.9257
2021-06-18,0.1128,0.6284,0.9166
2021-06-25,0.111,0.6303,0.898
2021-07-02,0.1066,0.634,0.8982
2021-07-09,0.1204,0.5304,0.8347
2021-07-16,0.1146,0.4986,0.8803
2021-07-23,0.1093,0.6029,0.9064
2021-07-30,0.1045,0.5798,0.8843
2021-08-06,0.0825,0.5447,0.8776
2021-08-13,0.0752,0.5641,0.8766
2021-08-20,0.0675,0.5552,0.8934
2021-08-27,0.063,0.5761,0.9045
2021-09-03,0.0782,0.6013,0.8978
2021-09-10,0.0922,0.5645,0.8908
2021-09-17,0.0958,0.5594,0.887
2021-09-24,0.0932,0.5594,0.8841
2021-10-01,0.1011,0.4791,0.8558
2021-10-08,0.1331,0.4376,0.7769
2021-10-15,0.15,0.4588,0.7585
2021-10-22,0.1668,0.5496,0.9543
2021-10-29,0.2113,0.5982,0.9896
2021-11-05,0.1149,0.7118,0.9901
2021-11-12,0.0489,0.8129,0.9907
2021-11-19,0.0479,0.8147,0.9905
2021-11-26,0.0378,0.8344,0.9905
2021-12-03,0.0387,0.835,0.9906
2021-12-10,0.0334,0.8584,0.9905
2021-12-17,0.0416,0.827,0.9906
2021-12-24,0.0558,0.8123,0.9901
2022-01-01,0.0704,0.7934,0.9831
2022-01-08,0.0428,0.8442,0.9834
2022-01-15,0.0405,0.854,0.9855
2022-01-22,0.0357,0.8593,0.9906
2022-01-29,0.0377,0.8405,0.9907
2022-02-05,0.0286,0.8639,0.9905
2022-02-12,0.029,0.8635,0.9906
2022-02-19,0.028,0.8616,0.9906
2022-02-26,0.0259,0.8728,0.9906
2022-03-05,0.0336,0.8633,0.9906
2022-03-12,0.0367,0.8618,0.9905
2022-03-19,0.0309,0.8592,0.9906
2022-03-26,0.0389,0.8634,0.9906
2022-04-02,0.0285,0.8699,0.9905
2022-04-09,0.0319,0.8517,0.9907
2022-04-16,0.0299,0.8609,0.9907
2022-04-23,0.0331,0.8452,0.9905
2022-04-30,0.0378,0.831,0.9908
2022-05-07,0.041,0.8218,0.9906
2022-05-14,0.0428,0.8025,0.9907
2022-05-21,0.0672,0.7469,0.9828
2022-05-28,0.0725,0.7148,0.983
2022-06-04,0.0965,0.6849,0.9724
2022-06-11,0.1015,0.7038,0.9491
2022-06-18,0.1121,0.6383,0.9441
2022-06-25,0.1345,0.5971,0.929
2022-07-02,0.1565,0.5106,0.9136
2022-07-09,0.1619,0.4616,0.8907
2022-07-16,0.1745,0.4197,0.8429
2022-07-23,0.1819,0.4206,0.8247
2022-07-30,0.1407,0.4674,0.8363
2022-08-06,0.1564,0.4631,0.8135
2022-08-13,0.1357,0.4502,0.8174
2022-08-20,0.1365,0.4233,0.8183
2022-08-27,0.1198,0.4694,0.8288
2022-09-03,0.1143,0.5236,0.8436
2022-09-10,0.126,0.4969,0.8506
2022-09-17,0.1167,0.4949,0.8597
2022-09-24,0.1329,0.4926,0.8579
2022-10-01,0.1641,0.4153,0.8129
2022-10-08,0.2024,0.4,0.6641
2022-10-15,0.2099,0.4199,0.7083
2022-10-22,0.1934,0.4773,0.8339
2022-10-29,0.1589,0.6039,0.9776
2022-11-05,0.1074,0.7205,0.99
2022-11-12,0.048,0.8132,0.9904
2022-11-19,0.0443,0.8168,0.9903
2022-11-26,0.0364,0.8435,0.9903
2022-12-03,0.0348,0.8365,0.9904
2022-12-10,0.0326,0.8569,0.9905
2022-12-17,0.0369,0.8378,0.9905
2022-12-24,0.0513,0.8221,0.9901
2023-01-01,0.0647,0.8019,0.9831
2023-01-08,0.0436,0.8462,0.9831
2023-01-15,0.042,0.8552,0.9854
2023-01-22,0.0352,0.8664,0.9906
2023-01-29,0.0317,0.8651,0.9906
2023-02-05,0.0301,0.867,0.9905
2023-02-12,0.0298,0.8722,0.9905
2023-02-19,0.0308,0.8535,0.9905
2023-02-26,0.0295,0.8723,0.9905
2023-03-05,0.0318,0.8564,0.9906
2023-03-12,0.0379,0.8608,0.9905
2023-03-19,0.033,0.8668,0.9906
2023-03-26,0.0354,0.8641,0.9906
2023-04-02,0.0288,0.8717,0.9905
2023-04-09,0.0314,0.857,0.9907
2023-04-16,0.0293,0.867,0.9908
2023-04-23,0.0321,0.8469,0.9906
2023-04-30,0.0413,0.8369,0.9908
2023-05-07,0.037,0.8183,0.9907
2023-05-14,0.0505,0.7888,0.9908
2023-05-21,0.0608,0.7642,0.9909
2023-05-28,0.0721,0.6644,0.9852
2023-06-04,0.0914,0.6814,0.9845
2023-06-11,0.0826,0.6967,0.9792
2023-06-18,0.0869,0.664,0.968
2023-06-25,0.0929,0.6806,0.9624
2023-07-02,0.1228,0.5864,0.9366
2023-07-09,0.1364,0.5148,0.899
2023-07-16,0.1466,0.444,0.8475
2023-07-23,0.1446,0.417,0.8408
2023-07-30,0.1368,0.419,0.8334
2023-08-06,0.1246,0.4352,0.82
2023-08-13,0.124,0.4236,0.8625
2023-08-20,0.1308,0.4402,0.839
2023-08-27,0.1281,0.4607,0.8592
2023-09-03,0.1317,0.4834,0.8692
2023-09-10,0.135,0.4415,0.8647
2023-09-17,0.1326,0.4525,0.8587
2023-09-24,0.1258,0.4336,0.8627
2023-10-01,0.1434,0.4354,0.7556
2023-10-08,0.1618,0.4815,0.6983
2023-10-15,0.1604,0.5631,0.764
2023-10-22,0.1153,0.6285,0.9124
2023-10-29,0.1184,0.7277,0.9878
2023-11-05,0.0639,0.7928,0.9902
2023-11-12,0.0345,0.8366,0.9906
2023-11-19,0.0357,0.8374,0.9903
2023-11-26,0.0315,0.85,0.9904
2023-12-03,0.0345,0.8473,0.9906
2023-12-10,0.0316,0.8629,0.9905
2023-12-17,0.0359,0.8426,0.9906
2023-12-24,0.0496,0.8288,0.9899
