Territory,Traget month,IceNet,2D Conv-based,3D Conv-based,TimeSformer 
Kara Sea,2020-01,"0,9285","0,9687","0,9623","0,9515"
Kara Sea,2020-02,"0,9429","0,9678","0,9668","0,9613"
Kara Sea,2020-03,"0,9368","0,9679","0,9694","0,9615"
Kara Sea,2020-04,"0,9289","0,9633","0,9560","0,9671"
Kara Sea,2020-05,"0,9397","0,9315","0,9347","0,9130"
Kara Sea,2020-06,"0,8326","0,8764","0,8716","0,8223"
Barents Sea,2020-01,"0,9265","0,9593","0,9599","0,9183"
Barents Sea,2020-02,"0,9348","0,9466","0,9544","0,9219"
Barents Sea,2020-03,"0,9197","0,9327","0,9560","0,9445"
Barents Sea,2020-04,"0,8958","0,9286","0,9499","0,9362"
Barents Sea,2020-05,"0,9175","0,9138","0,9429","0,9172"
Barents Sea,2020-06,"0,8444","0,8564","0,9014","0,8594"
Laptev Sea,2020-01,"0,9739","0,9910","0,9831","0,9787"
Laptev Sea,2020-02,"0,9739","0,9910","0,9931","0,9803"
Laptev Sea,2020-03,"0,9739","0,9910","0,9936","0,9801"
Laptev Sea,2020-04,"0,9739","0,9910","0,9906","0,9759"
Laptev Sea,2020-05,"0,9739","0,9879","0,9590","0,9707"
Laptev Sea,2020-06,"0,9376","0,9438","0,9626","0,9109"
East-Siberian Sea,2020-01,"0,9838","0,9954","0,9951","0,9934"
East-Siberian Sea,2020-02,"0,9838","0,9954","0,9953","0,9933"
East-Siberian Sea,2020-03,"0,9838","0,9954","0,9951","0,9930"
East-Siberian Sea,2020-04,"0,9838","0,9954","0,9951","0,9932"
East-Siberian Sea,2020-05,"0,9838","0,9943","0,9938","0,9923"
East-Siberian Sea,2020-06,"0,9642","0,9691","0,9676","0,9671"
Chukchi Sea,2020-01,"0,9871","0,9982","0,9865","0,9669"
Chukchi Sea,2020-02,"0,9871","0,9982","0,9905","0,9708"
Chukchi Sea,2020-03,"0,9871","0,9982","0,9905","0,9692"
Chukchi Sea,2020-04,"0,9871","0,9960","0,9907","0,9721"
Chukchi Sea,2020-05,"0,9871","0,9394","0,9875","0,9578"
Chukchi Sea,2020-06,"0,9140","0,9441","0,9444","0,9382"