Year and quater,SEAS5_mae,2D Conv-based_mae,3D Conv-based_mae,TimeSformer_mae,SEAS5_ssim,2D Conv-based_ssim,3D Conv-based_ssim,TimeSformer_ssim
2020Q1,"0,0396","0,0203","0,0371","0,0745","0,8805","0,9146","0,8724","0,9057"
2020Q2,"0,0690","0,0564","0,0615","0,0927","0,7884","0,7988","0,7749","0,7876"
2020Q3,"0,2424","0,1073","0,0994","0,4338","0,4407","0,4889","0,4913","0,3090"
2021Q1,"0,0361","0,0215","0,0309","0,0694","0,8827","0,9098","0,8800","0,9020"
2021Q2,"0,0715","0,0524","0,0559","0,0904","0,7933","0,7980","0,7865","0,7970"
2021Q3,"0,2199","0,1398","0,1023","0,3798","0,4428","0,4421","0,4932","0,3360"
2022Q1,"0,0407","0,0221","0,0282","0,0774","0,8823","0,9147","0,8890","0,9063"
2022Q2,"0,0642","0,0605","0,0543","0,0744","0,8104","0,8160","0,8042","0,8285"
2022Q3,"0,1252","0,1564","0,1398","0,3085","0,5711","0,4524","0,4651","0,3844"
2023Q1,"0,0374","0,0205","0,0253","0,0762","0,8840","0,9167","0,8952","0,9071"
2023Q2,"0,0665","0,0694","0,0529","0,0774","0,7864","0,7791","0,7923","0,8195"
2023Q3,"0,1648","0,1722","0,1430","0,3694","0,5188","0,3918","0,4310","0,3388"